Case,Date,County,Company,Occupation,Agency,Violation,Trade,Outcome,Outcometype,Quantity
1158RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Tectonics Design Group,Surveying , California Department of Transportation ," Failure to Pay Prevailing Wages, Overtime, Streets & Highways Code 670.1 ", Operators,Complaint,DLSE,
1158RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Tectonics Design Group,Surveying , California Department of Transportation ," Failure to Pay Prevailing Wages, Overtime, Streets & Highways Code 670.1 ", Operators,Complaint,EDD,
1129SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Telfer Highway Technologies,Street & Road , County of Placer , Misclassification , Laborers,Lawsuit,Superior Court,
1151SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Telfer Highway Technologies,Grading and Paving , City of Roseville ," Apprenticeship, Overtime, Travel Pay "," Laborers, Operators",Complaint,DLSE,
1151SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Telfer Highway Technologies,Grading and Paving , City of Roseville ," Apprenticeship, Overtime, Travel Pay "," Laborers, Operators",Lawsuit,Superior Court,
1150SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Roger Cook,Electrical Construction , City of Sacramento ," Apprenticeship, Misclassification, Underreporting of Hours, Underreporting of Workers "," Electricians, Laborers, Operators",Complaint,DLSE,
1164ST,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Rumex Construction Corporation,Site Work/Underground , State of California Department of Highway Patrol ," Apprenticeship, Holiday Pay Violation, Overtime, Paid Private Rates, Travel Pay "," Cement Masons, Laborers, Operators",Complaint,DLSE,
1140SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Site Grading & Paving, Inc.",Grading and Paving , San Juan Unified School District , Workers Compensation ," Laborers, Operators",Complaint,CSLB,
1140SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Site Grading & Paving, Inc.",Grading and Paving , San Juan Unified School District , Workers Compensation ," Laborers, Operators",Complaint,EDD,
981RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","SK & Sons, Inc. dba SK Construction",Site Work/Building Construction , Cascade Union Elementary School District , Expired Rates ," Cement Masons, Laborers, Operators",Collection,DLSE ,"5,216.23"
989RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",SNL Group Inc.,Underground , City of Redding , Travel Pay ," Laborers, Operators",Complaint,DLSE,
989RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",SNL Group Inc.,Underground , City of Redding , Travel Pay ," Laborers, Operators",Complaint,EDD,
1158RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Stout Building Contractors California, Inc.",Street & Road , California Department of Transportation ," Failure to Pay Prevailing Wages, Overtime, Streets & Highways Code 670.1 "," Carpenters, Operators",Complaint,DLSE,
1141SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Swan Engineering, Inc.",Underground , County of Yuba , Fringe Benefits ," Cement Masons, Laborers, Operators",Complaint,DLSE,
1144SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Swan Engineering, Inc.",Site Work , San Juan Unified School District , Fringe Benefits ," Laborers, Operators",Complaint,DLSE,
1144SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Swan Engineering, Inc.",Site Work , San Juan Unified School District , Fringe Benefits ," Laborers, Operators",Complaint,DLSE - Contractor Registration,
1144SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Swan Engineering, Inc.",Site Work , San Juan Unified School District , Fringe Benefits ," Laborers, Operators",Lawsuit,Superior Court,
1158RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Tectonics Design Group,Surveying , California Department of Transportation ," Failure to Pay Prevailing Wages, Overtime, Streets & Highways Code 670.1 ", Operators,Complaint,DLSE,
1158RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Tectonics Design Group,Surveying , California Department of Transportation ," Failure to Pay Prevailing Wages, Overtime, Streets & Highways Code 670.1 ", Operators,Complaint,EDD,
1129SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Telfer Highway Technologies,Street & Road , County of Placer , Misclassification , Laborers,Lawsuit,Superior Court,
1151SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Telfer Highway Technologies,Grading and Paving , City of Roseville ," Apprenticeship, Overtime, Travel Pay "," Laborers, Operators",Complaint,DLSE,
1151SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Telfer Highway Technologies,Grading and Paving , City of Roseville ," Apprenticeship, Overtime, Travel Pay "," Laborers, Operators",Lawsuit,Superior Court,
1151RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","The Builder, Inc.",Street & Road , City of Redding , Contractor Registration ," Laborers, Operators",Complaint,DLSE - Contractor Registration,
1145SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Tri-County Sewer Service, Inc. dba Roto Rooter Sewer Service",Underground , Franklin Elementary School District , Contractor Registration ," Cement Masons, Laborers, Operators",Complaint,DLSE - Contractor Registration,
1136SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Vinciguerra Construction,Underground , South Tahoe Public Utility District ," Apprenticeship, Misclassification, Overtime "," Laborers, Operators",Complaint,DLSE,
983RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Ward's Concrete, Inc.",Concrete Construction , California Department of Transportation ," Apprenticeship, Failure to Pay Prevailing Wages, Streets & Highways Code 670.1, Travel Pay "," Cement Masons, Laborers, Operators",Collection,DLSE ,992.16
1099SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Western Plastering, Inc.",Building Construction , City of Yuba City ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime ", Laborers,Collection,DLSE ,"19,090.76"
512SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Angel's Concrete,Concrete Construction , Sunnyvale School District , Workers Compensation , Laborers,Assessment,CSLB ,"3,500.00"
461SJa,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Aquatic Environments, Inc.",Dredging , City of Redwood City ," Apprenticeship, Misclassification, Overtime, Travel Pay ", Operators,Collection,DLSE ,"2,155.76"
490SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Associated Trucking, Inc.",Demolition , City & County of San Francisco ," Apprenticeship, Misclassification, Travel Pay ", Operators,Assessment,Awarding Agency ,"17,975.62"
490SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Associated Trucking, Inc.",Demolition , City & County of San Francisco ," Apprenticeship, Misclassification, Travel Pay ", Operators,Collection,Awarding Agency ,"17,975.62"
511SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Bay Area Tree Company, Inc.",Tree Removal , City of San Carlos , Failure to Provide Certified Payroll Records ," Laborers, Operators",Assessment,DLSE ,"21,800.00"
528SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Bay Area Tree Specialists,Tree Removal , Town of Hillsborough ," Misclassification, Overtime, Travel Pay ", Laborers,Lawsuit,Superior Court,
544SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Bay Area Tree Specialists,Tree Removal ," California State University, San Jose "," Apprenticeship, Misclassification, Travel Pay "," Laborers, Operators",Complaint,DLSE,
578SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Boart Longyear Company,Underground , California American Water Company , Contractor Registration ," Laborers, Operators",Complaint,DLSE,
568SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Build It Construction, Inc.",Fencing , North Monterey County Unified School District ," Apprenticeship, Fringe Benefits, Misclassification "," Laborers, Operators",Complaint,DLSE,
575SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","C.M. Construction Company (dba to Chiang C.M. Construction, Inc.)",Masonry , City & County of San Francisco ," Fringe Benefits, Subsistence, Travel Pay "," Brick Mason, Laborers",Assessment,Stop Notice ,"4,479.50"
575SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","C.M. Construction Company (dba to Chiang C.M. Construction, Inc.)",Masonry , City & County of San Francisco ," Fringe Benefits, Subsistence, Travel Pay "," Brick Mason, Laborers",Complaint,Awarding Agency,
524SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",C2G/Civil Consultants Group Inc.,Surveying , Gavilan Joint Community College District , Failure to Pay Prevailing Wages , Operators,Collection,DLSE ,487.16
542SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",C2G/Civil Consultants Group Inc.,Surveying , Santa Clara Unified School District ," Apprenticeship, Fringe Benefits, Misclassification ", Operators,Complaint,Awarding Agency,
496SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","CA Commercial Cleaning, Inc.",Site Work , Gilroy Unified School District ," Apprenticeship, Overtime, Travel Pay ", Laborers,Collection,Awarding Agency ,"2,492.93"
487SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",California Constructores,Concrete Construction , City & County of San Francisco ," Cash Pay, Misclassification, Overtime "," Carpenters, Cement Masons, Iron Workers, Laborers",Collection,Awarding Agency ,"47,752.20"
1552RP,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Cats 4 U, Inc.",Underground , City of Rohnert Park ," Apprenticeship, Misclassification, Overtime, Travel Pay "," Laborers, Operators",Assessment,Stop Notice ,"12,751.33"
1552RP,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Cats 4 U, Inc.",Underground , City of Rohnert Park ," Apprenticeship, Misclassification, Overtime, Travel Pay "," Laborers, Operators",Lawsuit,Superior Court,
1560RP,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Coastside Concrete,Underground , City of Ukiah ," IWC 16, Misclassification, Overtime "," Cement Masons, Laborers, Operators",Assessment,Stop Notice ,"16,170.55"
1560RP,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Coastside Concrete,Underground , City of Ukiah ," IWC 16, Misclassification, Overtime "," Cement Masons, Laborers, Operators",Complaint,Awarding Agency,
1560RP,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Coastside Concrete,Underground , City of Ukiah ," IWC 16, Misclassification, Overtime "," Cement Masons, Laborers, Operators",Lawsuit,Superior Court,
555SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Coastside Concrete,Street & Road , City of San Rafael ," IWC 16, Misclassification, Overtime "," Cement Masons, Laborers, Operators",Assessment,Stop Notice ,"7,304.32"
555SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Coastside Concrete,Street & Road , City of San Rafael ," IWC 16, Misclassification, Overtime "," Cement Masons, Laborers, Operators",Complaint,Awarding Agency,
555SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Coastside Concrete,Street & Road , City of San Rafael ," IWC 16, Misclassification, Overtime "," Cement Masons, Laborers, Operators",Lawsuit,Superior Court,
515SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Converse Consultants,Testing & Inspection ," California State University, San Jose "," Failure to Pay Prevailing Wages, Overtime, Subsistence, Travel Pay ", Operators,Assessment,Stop Notice ,"85,856.43"
516SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Converse Consultants,Testing & Inspection ," California State University, San Jose "," Failure to Pay Prevailing Wages, Overtime, Subsistence, Travel Pay ", Operators,Assessment,Stop Notice ,"84,816.47"
530SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Coverage Determination,Underground , City of Palo Alto , Paid Private Rates ," Laborers, Operators",Coverage Determination,DIR - OD Legal,
547SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Cross Link, Inc. dba Westar Marine Services",Dredging , Strawberry Recreation District ," Misclassification, Subsistence, Travel Pay ", Operators,Complaint,DLSE,
565SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","D.L. Falk Construction, Inc.",Masonry , Menlo Park Fire Protection District , Apprenticeship ," Cement Masons, Laborers",Assessment,DLSE ,"21,378.27"
565SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","D.L. Falk Construction, Inc.",Masonry , Menlo Park Fire Protection District , Apprenticeship ," Cement Masons, Laborers",Complaint,DLSE,
522SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Del Conte's Landscaping, Inc.",Concrete Construction , City of Menlo Park ," Apprenticeship, Misclassification, Travel Pay "," Laborers, Operators",Assessment,DLSE ,"30,000.00"
522SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Del Conte's Landscaping, Inc.",Concrete Construction , City of Menlo Park ," Apprenticeship, Misclassification, Travel Pay "," Laborers, Operators",Forward,DLSE,
571SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Devaney Engineering,Underground , City of Belmont , Workers Compensation ," Laborers, Operators",Complaint,CSLB,
571SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Devaney Engineering,Underground , City of Belmont , Workers Compensation ," Laborers, Operators",Complaint,DLSE,
345SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Dick Emard Electric, Inc. dba Emard Electric",Underground , City of Palo Alto , Fringe Benefits ," Laborers, Operators",Collection,Lawsuit ,"50,625.00"
346BA,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Dick Emard Electric, Inc. dba Emard Electric",Underground , Marin Community College District ," Fringe Benefits, IWC 16 "," Laborers, Operators",Collection,Lawsuit ,"50,625.00"
573SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Dryco Construction, Inc.",Grading and Paving , Saratoga Union School District ," Misclassification, Travel Pay, Underreporting of Hours, Underreporting of Workers "," Laborers, Operators",Complaint,DLSE,
577SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Dryco Construction, Inc.",Site Work , Morgan Hill Unified School District ," Failure to Pay Prevailing Wages, Misclassification, Overtime, Travel Pay "," Laborers, Operators",Complaint,DLSE,
580SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Dryco Construction, Inc.",Site Work , Santa Clara Unified School District ," Misclassification, Travel Pay, Underreporting of Hours, Underreporting of Workers "," Laborers, Operators",Complaint,DLSE,
582SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Dryco Construction, Inc.",Grading and Paving , City of Rohnert Park ," Misclassification, Overtime, Travel Pay "," Laborers, Operators",Complaint,DLSE,
551SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",EF & S Concrete,Concrete Construction , City of Morgan Hill ," Apprenticeship, Misclassification, Travel Pay "," Cement Masons, Iron Workers, Laborers, Operators",Complaint,Awarding Agency,
584SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Empire Landscaping, Inc.",Landscape Construction , City & County of San Francisco ," Apprenticeship, Failure to Pay Prevailing Wages, Incomplete Certified Payroll Records, Travel Pay "," Laborers, Operators",Complaint,Awarding Agency,
549SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","EPS, Inc. dba Express Plumbing",Underground , Town of Los Altos Hills ," Apprenticeship, Fringe Benefits, Travel Pay "," Laborers, Operators",Complaint,Awarding Agency,
567SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",First Building Maintenance Company,Final Clean Up , County of Marin ," Failure to Pay Prevailing Wages, Overtime ", Laborers,Assessment,Awarding Agency ,"10,663.33"
567SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",First Building Maintenance Company,Final Clean Up , County of Marin ," Failure to Pay Prevailing Wages, Overtime ", Laborers,Complaint,Awarding Agency,
567SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",First Building Maintenance Company,Final Clean Up , County of Marin ," Failure to Pay Prevailing Wages, Overtime ", Laborers,Complaint,CSLB,
570SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",First Building Maintenance Company,Final Clean Up , City & County of San Francisco ," Failure to Pay Prevailing Wages, Overtime ", Laborers,Assessment,Stop Notice ,550
570SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",First Building Maintenance Company,Final Clean Up , City & County of San Francisco ," Failure to Pay Prevailing Wages, Overtime ", Laborers,Complaint,Awarding Agency,
570SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",First Building Maintenance Company,Final Clean Up , City & County of San Francisco ," Failure to Pay Prevailing Wages, Overtime ", Laborers,Complaint,CSLB,
518SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","G & G Builders, Inc.",Site Work , City of Sunnyvale ," Misclassification, Underreporting of Hours, Underreporting of Workers ", Laborers,Collection,Awarding Agency ,"1,700.49"
574SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Gradetech Inc.,Street & Road , Morgan Hill Unified School District ," IWC 16, Misclassification, Overtime "," Cement Masons, Laborers",Assessment,Stop Notice ,"13,846.36"
574SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Gradetech Inc.,Street & Road , Morgan Hill Unified School District ," IWC 16, Misclassification, Overtime "," Cement Masons, Laborers",Complaint,Awarding Agency,
988RD,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Hanford Applied Restoration & Conservation,Site Work , Humboldt County Resource Conservation District , Travel Pay ," Laborers, Operators",Complaint,DLSE,
560SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Hauzen, Inc.",Mechanical Construction , City & County of San Francisco ," IWC 16, Overtime ", Sheet Metal Worker,Assessment,Stop Notice ,"327,146.68"
560SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Hauzen, Inc.",Mechanical Construction , City & County of San Francisco ," IWC 16, Overtime ", Sheet Metal Worker,Lawsuit,Superior Court,
1357RP,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","John Benward Company, Incorporated",Grading and Paving , City of Sonoma ," Fringe Benefits, Misclassification "," Laborers, Operators",Collection,Lawsuit ,"6,250.00"
393BA,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","John Benward Company, Incorporated",Street & Road , Town of San Anselmo ,," Laborers, Operators",Collection,Lawsuit ,"6,250.00"
394BA,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","John Benward Company, Incorporated",Street & Road , Town of San Anselmo ," Failure to Pay Prevailing Wages, Fringe Benefits, IWC 16, Overtime, Underreporting of Hours "," Laborers, Operators",Collection,Lawsuit ,"6,250.00"
395BA,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","John Benward Company, Incorporated",Underground , City of Sausalito ," IWC 16, Misclassification, Overtime, Paid Private Rates "," Laborers, Operators",Collection,Lawsuit ,"6,250.00"
396BA,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","John Benward Company, Incorporated",Underground , Novato Unified School District ," IWC 16, Misclassification, Overtime, Paid Private Rates "," Laborers, Operators",Collection,Lawsuit ,"6,250.00"
520SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Joseph Patrick Molloy,Site Work/Concrete Construction , Various Projects ," Bounced Checks/Insufficient Funds, Cash Pay, Failure to Pay Prevailing Wages, License Issues, Tax Issues, Workers Compensation "," Laborers, Operators",Complaint,District Attorney,
552SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Cambrian School District ," Misclassification, Overtime, Paid Private Rates ", Laborers,Assessment,Stop Notice ,758.6
552SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Cambrian School District ," Misclassification, Overtime, Paid Private Rates ", Laborers,Assessment,Stop Notice ,"5,828.80"
552SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Cambrian School District ," Misclassification, Overtime, Paid Private Rates ", Laborers,Complaint,Awarding Agency,
552SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Cambrian School District ," Misclassification, Overtime, Paid Private Rates ", Laborers,Lawsuit,Superior Court,
553SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Cambrian School District ," IWC 16, Misclassification, Overtime ", Laborers,Assessment,Awarding Agency ,606.88
553SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Cambrian School District ," IWC 16, Misclassification, Overtime ", Laborers,Assessment,Awarding Agency ,"1,918.50"
553SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Cambrian School District ," IWC 16, Misclassification, Overtime ", Laborers,Complaint,Awarding Agency,
553SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Cambrian School District ," IWC 16, Misclassification, Overtime ", Laborers,Lawsuit,Superior Court,
554SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Mountain View-Los Altos High School District ," IWC 16, Misclassification, Overtime ", Laborers,Assessment,Stop Notice ,"11,768.71"
554SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Mountain View-Los Altos High School District ," IWC 16, Misclassification, Overtime ", Laborers,Assessment,Stop Notice ,"15,339.02"
554SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Mountain View-Los Altos High School District ," IWC 16, Misclassification, Overtime ", Laborers,Complaint,Awarding Agency,
